"lon","lat","Име","Адрес"
"23.116301","42.570499","Lukoil B051","АМ Струма, до с. Студена, Пернишко"
"27.267300","42.692902","Lukoil B120","Айтос, ул. Славянска №94"
"25.060400","42.215599","Lukoil B017","АМ Тракия, АМ Тракия 154-ти км (посока София-Бургас)"
"25.062500","42.216099","Lukoil B044","АМ Тракия, 154-ти км (посока Бургас-София)"
"23.851299","42.432899","Lukoil B152","АМ Тракия, 43-ти км юг (мотел Ихтиман)"
"23.803074","42.879066","Lukoil F513","АМ Хемус, посока Варна-София, 37-ми км (м. Зелин)"
"23.879683","42.907570","Lukoil F536","АМ Хемус, разклон за Разлив"
"23.515615","42.705753","Lukoil B056","АМ Хемус, до с. Горни Богров"
"24.885799","42.015400","Lukoil B173","Асеновград, бул. Иван Асен ІІ №97"
"27.595200","42.443001","Lukoil B088","Черноморец, Атия, гл. път Бургас-Созопол"
"27.645500","42.645199","Lukoil B080","Ахелой, на изхода към Бургас"
"23.484400","41.844799","Lukoil B008","Банско, ул. Патриарх Евтимий"
"25.120899","43.635799","Lukoil B110","Белене, Белене"
"23.577938","41.914089","Lukoil B058","Белица, до гара Белица"
"22.941212","43.549080","Lukoil B113","Белотинци, до с. Белотинци, Монтанско"
"23.049900","42.043598","Lukoil B002","Благоевград, гл. път София-Кулата, км. 352-300"
"23.083500","42.006100","Lukoil B129","Благоевград, бул. Васил Левски - до ЗИИУ"
"23.096088","41.968418","Gazprom Благоевград","Благоевград, Гл. път Е79 (София-Кулата)"
"23.073299","42.015301","Lukoil F533","Благоевград, ж.к. Орбита"
"24.239300","43.058300","Lukoil B139","Брестница, местност Боаза, гл.път Варна-София"
"23.784300","42.908298","Lukoil F507","Ботевград, до Автогара Ботевград"
"22.891600","42.740700","Lukoil B188","Брезник, ул. Г. Бунджелов №74 (изход към Трън)"
"27.469700","42.531799","Lukoil B019","Бургас, кръгово движение, изход за Слънчев бряг"
"27.440701","42.456100","Lukoil B020","Бургас, бул. Тодор Александров (изход за Созопол)"
"27.449699","42.530998","Lukoil F504","Бургас, бул. Стефан Стамболов (изход за София)"
"27.462601","42.504101","Lukoil B027","Бургас, кв. Братя Миладинови, пл. Трапезица"
"27.417299","42.457802","Lukoil B079","Бургас, ж.к. Меден рудник"
"25.674885","43.467373","Lukoil B004","Бяла, Гара Бяла, на път Е-85"
"23.947800","43.473301","Lukoil B151","Бяла Слатина, изход за Плевен"
"27.879999","43.212502","Lukoil B132","Варна, Западна промишлена зона"
"27.877001","43.234200","Lukoil B096","Варна, бул. Цар Освободител,  до бл.109"
"27.859800","43.233799","Lukoil B012","Варна, кв. Вл. Варненчик, Ялови ниви"
"27.862499","43.227402","Lukoil B024","Варна, бул. Владислав Варненчик (изход за София)"
"27.892000","43.184299","Lukoil B119","Варна, кв. Аспарухово, бул. Народни будители"
"27.922100","43.227001","Lukoil B181","Варна, ул. Евлоги Георгиев"
"27.900999","43.203999","Lukoil B029","Варна, бул. Христо Ботев №13 (преди Аспарухов мост)"
"25.596399","43.072399","Lukoil B065","Велико Търново, бул. Никола Габровски №74 (до ДАП)"
"25.663200","43.070801","Lukoil B150","Велико Търново, изход за Варна"
"24.005199","42.031601","Lukoil B193","Велинград, бул. Хан Аспарух №2"
"22.885000","44.007702","Lukoil B186","Видин, м. Кумбаир, бул. Панония"
"22.865499","43.993000","Lukoil B028","Видин, ул. Панония №23"
"23.552401","43.209801","Lukoil B022","Враца, кръгово движение, изход към Видин"
"23.576000","43.189499","Lukoil B189","Враца, бул. Софийско шосе"
"23.573000","43.250198","Lukoil B127","Враца, местност Дъбника (изход Оряхово)"
"23.528000","43.224300","Gazprom Враца","Враца, ул. Илинден №22 (изход за Монтана)"
"25.317799","42.880402","Lukoil B030","Габрово, ул. Брянска №70"
"25.336901","42.847698","Lukoil B157","Габрово, бул. Хемус (изход за прохода Шипка)"
"28.023300","43.692501","Lukoil B190","Генерал Тошево, ул. Димитър Благоев №82 (изход Добрич-Варна)"
"25.690599","43.128502","Lukoil B166","Горна Оряховица, бул. Цар Освободител (до Механотехникума)"
"23.746799","41.575001","Lukoil F521","Гоце Делчев, ул. Гоце Делчев №98"
"23.734400","41.569901","Lukoil B062","Гоце Делчев, ул. Дунав"
"27.574200","43.224800","Lukoil B131","Девня, кв. Девня 2, бул. Съединение №97А"
"23.557100","41.823399","Lukoil B100","Добринище, Главен път за Гоце Делчев"
"27.820086","43.571068","Lukoil B042","Добрич, бул. Добруджа"
"27.844690","43.568413","Lukoil B176","Добрич, жк Дружба, бул. Добруджа №1 (изход за Балчик)"
"27.820850","43.542522","Lukoil B061","Добрич, Околовръстен път (изход за Варна)"
"23.140900","42.280899","Lukoil B126","Дупница, ул. Самоковско шосе №32"
"23.137165","42.273121","Lukoil B105","Дупница, ул. Саморанска (изход за Сапарева баня)"
"23.589300","42.675098","Lukoil B144","Елин Пелин, ул. Софийско шосе"
"24.148701","43.109798","Lukoil F542","Златна Панега, изход за Варна"
"26.819500","43.706299","Lukoil B161","Исперих, ул. Васил Левски №2"
"27.563499","42.654202","Lukoil B086","Каблешково, път за Слънчев бряг"
