Ден,Бензин,Дизел,Пропан-бутан
20140101,2.58,2.66,1.4
20140102,2.58,2.66,1.4
20140103,2.58,2.66,1.4
20140104,2.58,2.66,1.4
20140105,2.58,2.66,1.4
20140106,2.58,2.66,1.4
20140107,2.58,2.66,1.4
20140108,2.58,2.66,1.4
20140109,2.58,2.66,1.4
20140110,2.58,2.65,1.36
20140111,2.58,2.65,1.36
20140112,2.58,2.66,1.36
20140113,2.58,2.66,1.36
20140114,2.58,2.66,1.36
20140115,2.58,2.66,1.36
20140116,2.58,2.66,1.34
20140117,2.58,2.66,1.34
20140118,2.57,2.66,1.33
20140119,2.57,2.66,1.33
20140120,2.57,2.66,1.33
20140121,2.57,2.66,1.33
20140122,2.55,2.66,1.3
20140123,2.55,2.66,1.29
20140124,2.55,2.66,1.29
20140125,2.55,2.66,1.27
20140126,2.55,2.66,1.27
20140127,2.55,2.66,1.27
20140128,2.55,2.66,1.27
20140129,2.55,2.66,1.27
20140130,2.55,2.66,1.27
20140131,2.55,2.66,1.26
20140201,2.55,2.66,1.27
20140202,2.55,2.66,1.27
20140203,2.55,2.66,1.27
20140204,2.55,2.66,1.27
20140205,2.55,2.66,1.27
20140206,2.55,2.66,1.27
20140207,2.55,2.66,1.25
20140208,2.55,2.66,1.25
20140209,2.55,2.66,1.25
20140210,2.55,2.66,1.25
20140211,2.55,2.62,1.25
20140212,2.55,2.59,1.25
20140213,2.55,2.59,1.24
20140214,2.53,2.58,1.24
20140215,2.51,2.56,1.24
20140216,2.51,2.55,1.24
20140217,2.51,2.55,1.24
20140218,2.51,2.55,1.24
20140219,2.51,2.55,1.24
20140220,2.51,2.55,1.24
20140221,2.51,2.55,1.24
20140222,2.51,2.55,1.24
20140223,2.51,2.55,1.24
20140224,2.51,2.55,1.24
20140225,2.51,2.55,1.24
20140226,2.51,2.55,1.24
20140227,2.51,2.55,1.24
20140228,2.51,2.55,1.24
20140301,2.51,2.55,1.24
20140302,2.51,2.55,1.24
20140303,2.51,2.55,1.24
20140304,2.51,2.55,1.24
20140305,2.51,2.55,1.24
20140306,2.51,2.55,1.24
20140307,2.48,2.52,1.21
20140308,2.43,2.47,1.17
20140309,2.47,2.51,1.2
20140310,2.51,2.55,1.24
20140311,2.51,2.55,1.24
20140312,2.51,2.55,1.24
20140313,2.51,2.55,1.24
20140314,2.51,2.55,1.24
20140315,2.51,2.55,1.24
20140316,2.51,2.55,1.24
20140317,2.51,2.55,1.24
20140318,2.51,2.55,1.24
20140319,2.51,2.55,1.24
20140320,2.51,2.55,1.24
20140321,2.51,2.55,1.24
20140322,2.51,2.55,1.24
20140323,2.51,2.55,1.24
20140324,2.51,2.55,1.24
20140325,2.51,2.55,1.24
20140326,2.51,2.55,1.24
20140327,2.51,2.55,1.24
20140328,2.51,2.55,1.24
20140329,2.51,2.55,1.24
20140330,2.51,2.55,1.24
20140331,2.51,2.55,1.24
20140401,2.51,2.55,1.24
20140402,2.51,2.55,1.24
20140403,2.52,2.56,1.24
20140404,2.52,2.56,1.24
20140405,2.52,2.56,1.24
20140406,2.52,2.56,1.23
20140407,2.52,2.56,1.24
20140408,2.52,2.56,1.24
20140409,2.52,2.56,1.24
20140410,2.52,2.56,1.24
20140411,2.52,2.56,1.24
20140412,2.52,2.56,1.23
20140413,2.52,2.55,1.24
20140414,2.52,2.56,1.24
20140415,2.52,2.56,1.24
20140416,2.52,2.56,1.24
20140417,2.52,2.56,1.24
20140418,2.52,2.56,1.24
20140419,2.52,2.56,1.24
20140420,2.52,2.56,1.24
20140421,2.52,2.56,1.24
20140422,2.52,2.56,1.24
20140423,2.52,2.56,1.24
20140424,2.52,2.56,1.24
20140425,2.52,2.56,1.24
20140426,2.52,2.56,1.23
20140427,2.52,2.56,1.23
20140428,2.52,2.56,1.24
20140429,2.52,2.56,1.24
20140430,2.52,2.56,1.24
20140501,2.52,2.56,1.24
20140502,2.52,2.56,1.24
20140503,2.52,2.56,1.23
20140504,2.52,2.56,1.23
20140505,2.52,2.56,1.24
20140506,2.52,2.56,1.24
20140507,2.52,2.56,1.24
20140508,2.52,2.56,1.23
20140509,2.52,2.56,1.22
20140510,2.52,2.56,1.21
20140511,2.52,2.56,1.21
20140512,2.52,2.56,1.19
20140513,2.52,2.56,1.19
20140514,2.51,2.55,1.18
20140515,2.5,2.54,1.18
20140516,2.5,2.54,1.18
20140517,2.51,2.55,1.18
20140518,2.51,2.55,1.18
20140519,2.51,2.55,1.17
20140520,2.51,2.55,1.17
20140521,2.51,2.55,1.17
20140522,2.51,2.55,1.17
20140523,2.51,2.55,1.17
20140524,2.51,2.55,1.17
20140525,2.51,2.55,1.17
20140526,2.51,2.55,1.17
20140527,2.51,2.55,1.13
20140528,2.49,2.53,1.16
20140529,2.49,2.53,1.16
20140530,2.5,2.54,1.16
20140531,2.5,2.54,1.16
20140601,2.5,2.54,1.16
20140602,2.5,2.54,1.16
20140603,2.5,2.54,1.16
20140604,2.5,2.53,1.16
20140605,2.5,2.53,1.16
20140606,2.49,2.53,1.15
20140607,2.49,2.53,1.15
20140608,2.49,2.53,1.15
20140609,2.48,2.52,1.15
20140610,2.49,2.53,1.15
